g05167345904006340068,city,\N,VIII,,1,22269,2,
g10806729110611827700,cjacs,\N,IV,,1,22269,12,
a_534753819913718873,Clarence,\N,III,,1,22269,8,
g02901479078736471547,Clarence,\N,III,,1,22269,8,
g06836945284966759898,CLARENCE,\N,III,,1,22269,7,
a_8525396638329978371,CMS,\N,I,,1,22269,7,
g04830828091299752305,cnms,\N,VII,,1,22269,9,
g04337529587413094567,Columbus Public School,\N,VI,,1,22269,9,
g05945181868931728077,convent jesus,\N,IX,,1,22269,9,
g05005929104356596513,cps,\N,I,,1,22269,9,
a_4458693051865035172,Crack,\N,VII,,1,22269,6,
g06164152712580344373,CRESCENT PUBLIC SCHOOL,\N,XII,,1,22269,6,
g06804674128910417340,crly,\N,IX,,1,22269,8,
g10733318064059294702,Cross,\N,I,,1,22269,9,
g06491432862340711986,ct,\N,IV,,1,22269,8,
a_6725760712553389879,cvz,\N,I,,1,22269,8,
g13285083396664640309,D A V Intl School,\N,VIII,,1,22269,8,
g12049881605946145874,D A V kharghar,\N,VII,,1,22269,8,
g15235672164903009991,d p s school,\N,X,,1,22269,9,
g04147966870873351461,D.A.V international school ,\N, kharghar,,1,22269,8,
g07340295637269329651,D.A.V Public school,\N,VII,,1,22269,1,
g02703153165729543142,D.A.V.I.S.K ,\N,X,,1,22269,8,
g04642463002260401422,D.B.C,\N,VI,,1,22269,9,
g03518933180673079928,D.C.H.S,\N,IX,,1,22269,10,
g02636647886533279137,dadar,\N,VII,,1,22269,7,
g01497671659469834044,datta meghe world academy,\N,VIII,,1,22269,8,
g06663308031690460209,DAV,\N,III,,1,22269,10,
g12663886491086686179,DAV International School,\N,IV,,1,22269,9,
g15639502096978399352,DAV International School,\N,IX,,1,22269,8,
g17289870550495057958,DAV International School,\N,I,,1,22269,9,
g09759110236350082375,DAV International School,\N,IV,,1,22269,8,
g10390410769756274076,DAV International School,\N,VIII,,1,22269,4,
g17822322811398583207,DAV International School,\N,III,,1,2707,9,Mumbai
g09086066640057167242,DAV International School,\N,VIII,,1,22269,8,
g05599328592956523970,DAV International School,\N,V,,1,22269,9,
g02888906335308406163,DAV International School,\N,VIII,,1,22269,8,
g11403946484966175597,DAV International School,\N,V,,1,22269,7,
g05031665770817327461,DAV International School,\N,VII,,1,22269,9,
g09125711124245543770,DAV International School,\N,IX,,1,22269,10,
